words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean
這些,23,1093.0,2226.478260869565,32.0,65.73913043478261,28.0,35.391304347826086
這個,20,1237.0,1915.0,39.0,45.3,22.0,57.55
這是,15,1605.0,1516.0666666666666,44.0,85.0,24.0,50.8
這種,25,1116.0,2409.44,35.0,80.92,23.0,54.56
過來,10,480.0,2031.8,14.0,32.6,4.5,28.2
選擇,21,1019.0,1722.1904761904761,26.0,41.19047619047619,16.0,29.047619047619047
那些,10,521.5,833.0,7.0,17.3,8.0,13.7
那麼,16,704.0,1274.1875,23.0,50.875,16.5,39.9375
重新,11,910.0,2014.1818181818182,18.0,55.09090909090909,4.0,19.545454545454547
重要,10,475.5,609.2,8.0,15.7,3.0,9.1
雙標,11,896.0,1248.4545454545455,34.0,61.18181818181818,28.0,28.818181818181817
離婚,25,1830.0,4071.88,61.0,144.04,29.0,75.32
需要,23,431.0,742.1739130434783,3.0,17.608695652173914,3.0,11.08695652173913
願意,10,668.0,1951.0,18.5,43.9,16.5,55.6
