words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean
..,33,21.0,63.75757575757576,9.0,18.545454545454547,0.0,0.696969696969697
00,33,17.0,36.57575757575758,2.0,3.9696969696969697,1.0,0.8181818181818182
10,93,15.0,96.68817204301075,1.0,15.24731182795699,0.0,2.3010752688172045
100,30,18.5,132.33333333333334,2.0,14.0,0.0,5.366666666666666
1000,20,21.5,129.3,6.5,29.4,0.5,7.45
11,77,16.0,56.22077922077922,1.0,6.792207792207792,1.0,2.883116883116883
12,71,20.0,45.95774647887324,2.0,19.507042253521128,1.0,1.971830985915493
13,22,10.0,19.772727272727273,1.0,1.2272727272727273,1.0,3.090909090909091
14,10,13.5,45.0,2.0,4.2,0.0,4.8
15,24,22.0,56.708333333333336,3.5,10.125,1.0,2.7083333333333335
16,26,9.5,68.11538461538461,1.0,3.3076923076923075,0.5,1.2307692307692308
17,14,16.0,43.357142857142854,1.0,5.714285714285714,1.0,0.8571428571428571
18,19,21.0,66.26315789473684,2.0,9.473684210526315,1.0,1.105263157894737
19,19,101.0,76.52631578947368,9.0,17.894736842105264,1.0,1.631578947368421
20,46,19.0,61.630434782608695,4.0,8.58695652173913,0.0,1.0869565217391304
200,17,98.0,120.94117647058823,12.0,22.529411764705884,1.0,4.117647058823529
2000,12,57.5,290.8333333333333,12.5,69.33333333333333,1.0,13.75
2024,11,204.0,226.0909090909091,9.0,34.63636363636363,1.0,5.2727272727272725
2025,91,12.0,50.252747252747255,1.0,10.956043956043956,0.0,0.6813186813186813
2026,73,6.0,16.71232876712329,0.0,6.109589041095891,0.0,0.3698630136986301
21,19,4.0,52.0,0.0,7.105263157894737,0.0,0.47368421052631576
22,11,15.0,107.54545454545455,0.0,10.636363636363637,0.0,0.45454545454545453
23,13,6.0,132.07692307692307,1.0,9.384615384615385,0.0,0.15384615384615385
24,13,17.0,80.92307692307692,0.0,17.0,0.0,0.6923076923076923
25,10,17.5,118.0,3.5,22.4,0.0,0.5
26,13,13.0,40.38461538461539,0.0,4.153846153846154,0.0,0.3076923076923077
27,10,18.0,23.8,2.0,6.3,1.0,1.1
30,66,27.0,87.12121212121212,3.0,9.621212121212121,1.0,2.090909090909091
300,33,1.0,45.121212121212125,0.0,10.212121212121213,0.0,0.5757575757575758
3000,17,62.0,74.6470588235294,8.0,24.941176470588236,8.0,6.588235294117647
3F,10,27.0,109.4,4.0,6.6,3.0,3.7
40,14,71.0,156.71428571428572,4.0,7.357142857142857,2.5,2.2142857142857144
5%,12,9.5,62.416666666666664,3.5,7.666666666666667,1.0,2.9166666666666665
50,25,57.0,146.16,7.0,13.4,1.0,2.2
5000,34,9.0,48.470588235294116,5.5,13.5,0.0,0.20588235294117646
60,10,83.5,106.2,6.0,10.3,1.0,3.9
65,15,32.0,99.86666666666666,5.0,11.733333333333333,0.0,0.9333333333333333
70.8%,16,24.0,25.5,2.0,2.75,3.0,2.8125
AI,152,8.0,31.592105263157894,1.0,4.276315789473684,0.0,1.493421052631579
Ai,47,9.0,30.06382978723404,2.0,7.425531914893617,1.0,2.4468085106382977
Day,12,106.0,96.5,7.0,10.083333333333334,1.5,1.0833333333333333
Gemini,12,8.0,22.083333333333332,0.5,3.75,0.0,1.25
Google,44,13.0,16.386363636363637,0.0,2.4318181818181817,0.0,0.4772727272727273
Hello,12,46.5,169.5,10.0,61.333333333333336,1.0,1.25
IG,67,25.0,61.46268656716418,2.0,11.970149253731343,0.0,3.3582089552238807
IP,10,7.0,13.3,1.0,1.7,0.0,0.2
Instagram,34,8.5,123.41176470588235,0.0,5.382352941176471,0.0,9.558823529411764
LINE,15,8.0,14.4,0.0,3.0,0.0,1.5333333333333334
Meta,17,7.0,7.9411764705882355,0.0,0.17647058823529413,0.0,0.11764705882352941
PM,14,44.0,463.2142857142857,2.5,14.214285714285714,1.0,20.928571428571427
POPUPASIA,20,10.5,9.05,0.0,1.35,0.5,1.6
Reels,10,4.0,7.0,0.0,0.5,0.0,0.0
SEO,55,15.0,24.236363636363638,4.0,6.654545454545454,0.0,1.1090909090909091
Threads,77,45.0,57.714285714285715,52.0,68.50649350649351,1.0,1.2727272727272727
Tip,11,34.0,157.0,3.0,3.0,0.0,12.636363636363637
World,12,46.5,169.5,10.0,61.333333333333336,1.0,1.25
YI,16,28.0,40.25,20.0,48.0625,1.0,1.0
accupass,21,1.0,1.4761904761904763,0.0,0.19047619047619047,0.0,0.0
digital,10,3.5,4.8,0.0,0.7,0.0,0.0
event,12,0.5,1.3333333333333333,0.0,0.16666666666666666,0.0,0.0
helloworldcookies.1,13,7.0,6.384615384615385,0.0,0.0,0.0,0.15384615384615385
logo,31,8.0,103.54838709677419,0.0,2.6774193548387095,0.0,10.419354838709678
mo,10,136.0,331.4,34.5,51.3,6.0,18.7
momo,12,258.0,218.83333333333334,44.5,42.833333333333336,16.0,11.833333333333334
myship.7,30,21.0,21.0,0.0,1.6333333333333333,1.0,2.1
popupasia,17,11.0,10.647058823529411,0.0,1.7058823529411764,1.0,1.2352941176470589
reels,10,4.5,6.4,1.0,1.8,0.0,0.0
shop,13,7.0,6.384615384615385,0.0,0.0,0.0,0.15384615384615385
sogo,10,3.5,4.8,0.0,0.7,0.0,0.0
tw,57,7.0,13.385964912280702,0.0,0.8596491228070176,0.0,1.1578947368421053
一件,48,17.0,29.270833333333332,2.0,3.1041666666666665,0.0,0.6041666666666666
一份,20,48.0,111.95,3.5,11.75,0.0,0.8
一位,42,39.0,86.76190476190476,3.0,19.476190476190474,0.0,1.119047619047619
一切,32,29.5,52.3125,3.0,5.1875,0.0,0.28125
一半,39,0.0,60.282051282051285,0.0,8.35897435897436,0.0,3.358974358974359
一句,56,8.0,48.57142857142857,0.0,15.053571428571429,0.0,1.2321428571428572
一堆,16,18.0,106.0,2.0,11.5,1.0,2.625
一場,27,8.0,16.14814814814815,1.0,6.62962962962963,0.0,0.6666666666666666
一天,55,22.0,66.16363636363636,1.0,8.309090909090909,0.0,2.381818181818182
一年,60,42.0,94.68333333333334,4.0,8.716666666666667,0.0,1.8166666666666667
一張,10,100.0,247.3,3.0,8.9,1.5,10.5
一條,17,3.0,25.470588235294116,0.0,2.588235294117647,0.0,0.29411764705882354
