words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean,distinct_creators,frequency,quadrant
不想,15,3.0,59.8,0.0,13.066666666666666,0.0,0.6,10,15,Blue Ocean (藍海詞)
不接,33,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,1,33,Red Ocean (紅海詞)
世界,20,3.5,24.0,0.0,1.85,0.0,0.35,8,20,Star (明星詞)
主管,17,21.0,45.05882352941177,1.0,7.294117647058823,0.0,0.7058823529411765,4,17,Star (明星詞)
了解,10,1.5,2.4,0.0,0.3,0.0,0.0,5,10,Avoid (避開)
事業,12,1.5,5.0,0.0,1.0833333333333333,0.0,0.16666666666666666,5,12,Avoid (避開)
互相,21,52.0,42.095238095238095,43.0,62.714285714285715,0.0,0.23809523809523808,8,21,Star (明星詞)
交流,21,3.0,10.333333333333334,1.0,6.0,0.0,0.047619047619047616,9,21,Star (明星詞)
人才,17,2.0,5.529411764705882,0.0,0.7647058823529411,0.0,0.29411764705882354,4,17,Star (明星詞)
人生,33,3.0,15.424242424242424,0.0,12.787878787878787,0.0,0.3939393939393939,9,33,Star (明星詞)
什麼樣,12,3.0,6.083333333333333,0.0,1.3333333333333333,0.0,0.08333333333333333,4,12,Blue Ocean (藍海詞)
今年,23,15.0,19.565217391304348,10.0,22.217391304347824,0.0,0.043478260869565216,9,23,Star (明星詞)
付款,22,0.0,1.5454545454545454,0.0,0.09090909090909091,0.0,0.0,2,22,Red Ocean (紅海詞)
以上,16,4.0,5.625,0.0,0.5,0.0,0.0625,8,16,Star (明星詞)
件套,10,0.0,0.1,0.0,0.0,0.0,0.0,2,10,Avoid (避開)
企劃,14,16.0,32.92857142857143,5.5,10.428571428571429,0.0,0.5,4,14,Blue Ocean (藍海詞)
企業,48,2.0,4.354166666666667,0.0,0.8333333333333334,0.0,0.22916666666666666,4,48,Star (明星詞)
位名額,13,1.0,1.0769230769230769,0.0,0.15384615384615385,0.0,0.0,1,13,Avoid (避開)
低調,15,2.0,1.8,0.0,0.06666666666666667,0.0,0.0,3,15,Blue Ocean (藍海詞)
使用,49,1.0,4.551020408163265,0.0,0.8367346938775511,0.0,0.40816326530612246,10,49,Red Ocean (紅海詞)
便宜,10,5.0,5.5,0.0,1.6,0.0,0.0,7,10,Blue Ocean (藍海詞)
保暖,29,0.0,1.793103448275862,0.0,2.8620689655172415,0.0,0.06896551724137931,3,29,Red Ocean (紅海詞)
保經,13,2.0,2.076923076923077,0.0,0.0,0.0,0.0,1,13,Blue Ocean (藍海詞)
保險,16,2.0,2.1875,0.0,0.0,0.0,0.0,2,16,Star (明星詞)
信任,23,2.0,8.304347826086957,0.0,1.7391304347826086,0.0,0.43478260869565216,8,23,Star (明星詞)
修護,14,37.0,41.92857142857143,2.0,2.642857142857143,1.0,1.5,1,14,Blue Ocean (藍海詞)
個人品牌,10,2.0,8.6,0.0,0.8,0.0,0.2,4,10,Blue Ocean (藍海詞)
值得,14,5.0,56.57142857142857,0.0,24.571428571428573,0.0,3.9285714285714284,9,14,Blue Ocean (藍海詞)
假日,36,0.0,6.25,0.0,4.944444444444445,0.0,0.027777777777777776,4,36,Red Ocean (紅海詞)
做出,18,3.0,5.0,0.0,0.8333333333333334,0.0,0.05555555555555555,6,18,Star (明星詞)
健康,10,9.0,9.4,1.0,1.7,0.0,0.0,5,10,Blue Ocean (藍海詞)
催單,33,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,1,33,Red Ocean (紅海詞)
價值,40,2.0,2.6,0.0,0.65,0.0,0.15,9,40,Star (明星詞)
價格,112,0.0,0.5982142857142857,0.0,0.13392857142857142,0.0,0.008928571428571428,12,112,Red Ocean (紅海詞)
儀式,20,2.0,1.9,0.0,0.3,0.0,0.35,5,20,Star (明星詞)
優先,15,1.0,1.6,0.0,0.13333333333333333,0.0,0.0,2,15,Avoid (避開)
優惠,22,2.0,1.7727272727272727,0.0,0.6818181818181818,0.0,0.045454545454545456,3,22,Star (明星詞)
元辰宮,16,2.0,2.0625,0.0,0.625,0.0,0.3125,1,16,Star (明星詞)
先以,13,1.0,1.0769230769230769,0.0,0.15384615384615385,0.0,0.0,1,13,Avoid (避開)
公主,14,0.0,1.7857142857142858,0.0,0.0,0.0,0.0,3,14,Avoid (避開)
公司,64,11.5,23.609375,1.0,4.984375,0.0,0.171875,10,64,Star (明星詞)
兼職,15,1.0,1.5333333333333334,0.0,0.6666666666666666,0.0,0.0,2,15,Avoid (避開)
冬天,11,0.0,2.3636363636363638,0.0,0.09090909090909091,0.0,0.18181818181818182,5,11,Avoid (避開)
出貨,19,1.0,1.7894736842105263,0.0,1.0526315789473684,0.0,0.2631578947368421,3,19,Red Ocean (紅海詞)
出門,18,0.0,3.4444444444444446,0.0,4.777777777777778,0.0,0.16666666666666666,5,18,Red Ocean (紅海詞)
分享,56,4.0,25.410714285714285,0.5,17.803571428571427,0.0,0.8035714285714286,14,56,Star (明星詞)
分析,20,1.0,9.7,0.0,2.8,0.0,0.25,6,20,Red Ocean (紅海詞)
分鐘,20,0.5,17.35,0.0,1.25,0.0,0.25,7,20,Red Ocean (紅海詞)
剛好,11,3.0,7.636363636363637,1.0,4.2727272727272725,0.0,0.2727272727272727,5,11,Blue Ocean (藍海詞)
