words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean,distinct_creators
不夠,13,4.0,10.153846153846153,0.0,0.9230769230769231,0.0,0.15384615384615385,8
不好,21,16.0,41.142857142857146,1.0,3.9047619047619047,0.0,1.1904761904761905,9
不影響,13,1.0,1.0769230769230769,0.0,0.15384615384615385,0.0,0.0,1
不怕,13,0.0,11.153846153846153,0.0,3.769230769230769,0.0,0.0,5
不想,15,3.0,59.8,0.0,13.066666666666666,0.0,0.6,10
不接,33,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,1
世界,20,3.5,24.0,0.0,1.85,0.0,0.35,8
主管,17,21.0,45.05882352941177,1.0,7.294117647058823,0.0,0.7058823529411765,4
了解,10,1.5,2.4,0.0,0.3,0.0,0.0,5
事業,12,1.5,5.0,0.0,1.0833333333333333,0.0,0.16666666666666666,5
互相,21,52.0,42.095238095238095,43.0,62.714285714285715,0.0,0.23809523809523808,8
交流,21,3.0,10.333333333333334,1.0,6.0,0.0,0.047619047619047616,9
人才,17,2.0,5.529411764705882,0.0,0.7647058823529411,0.0,0.29411764705882354,4
人生,33,3.0,15.424242424242424,0.0,12.787878787878787,0.0,0.3939393939393939,9
什麼樣,12,3.0,6.083333333333333,0.0,1.3333333333333333,0.0,0.08333333333333333,4
今年,23,15.0,19.565217391304348,10.0,22.217391304347824,0.0,0.043478260869565216,9
付款,22,0.0,1.5454545454545454,0.0,0.09090909090909091,0.0,0.0,2
以上,16,4.0,5.625,0.0,0.5,0.0,0.0625,8
件套,10,0.0,0.1,0.0,0.0,0.0,0.0,2
企劃,14,16.0,32.92857142857143,5.5,10.428571428571429,0.0,0.5,4
企業,48,2.0,4.354166666666667,0.0,0.8333333333333334,0.0,0.22916666666666666,4
位名額,13,1.0,1.0769230769230769,0.0,0.15384615384615385,0.0,0.0,1
低調,15,2.0,1.8,0.0,0.06666666666666667,0.0,0.0,3
使用,49,1.0,4.551020408163265,0.0,0.8367346938775511,0.0,0.40816326530612246,10
便宜,10,5.0,5.5,0.0,1.6,0.0,0.0,7
保暖,29,0.0,1.793103448275862,0.0,2.8620689655172415,0.0,0.06896551724137931,3
保經,13,2.0,2.076923076923077,0.0,0.0,0.0,0.0,1
保險,16,2.0,2.1875,0.0,0.0,0.0,0.0,2
信任,23,2.0,8.304347826086957,0.0,1.7391304347826086,0.0,0.43478260869565216,8
修護,14,37.0,41.92857142857143,2.0,2.642857142857143,1.0,1.5,1
個人品牌,10,2.0,8.6,0.0,0.8,0.0,0.2,4
值得,14,5.0,56.57142857142857,0.0,24.571428571428573,0.0,3.9285714285714284,9
假日,36,0.0,6.25,0.0,4.944444444444445,0.0,0.027777777777777776,4
做出,18,3.0,5.0,0.0,0.8333333333333334,0.0,0.05555555555555555,6
健康,10,9.0,9.4,1.0,1.7,0.0,0.0,5
催單,33,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,1
價值,40,2.0,2.6,0.0,0.65,0.0,0.15,9
價格,112,0.0,0.5982142857142857,0.0,0.13392857142857142,0.0,0.008928571428571428,12
儀式,20,2.0,1.9,0.0,0.3,0.0,0.35,5
優先,15,1.0,1.6,0.0,0.13333333333333333,0.0,0.0,2
優惠,22,2.0,1.7727272727272727,0.0,0.6818181818181818,0.0,0.045454545454545456,3
元辰宮,16,2.0,2.0625,0.0,0.625,0.0,0.3125,1
先以,13,1.0,1.0769230769230769,0.0,0.15384615384615385,0.0,0.0,1
公主,14,0.0,1.7857142857142858,0.0,0.0,0.0,0.0,3
公司,64,11.5,23.609375,1.0,4.984375,0.0,0.171875,10
兼職,15,1.0,1.5333333333333334,0.0,0.6666666666666666,0.0,0.0,2
冬天,11,0.0,2.3636363636363638,0.0,0.09090909090909091,0.0,0.18181818181818182,5
出貨,19,1.0,1.7894736842105263,0.0,1.0526315789473684,0.0,0.2631578947368421,3
出門,18,0.0,3.4444444444444446,0.0,4.777777777777778,0.0,0.16666666666666666,5
分享,56,4.0,25.410714285714285,0.5,17.803571428571427,0.0,0.8035714285714286,14
分析,20,1.0,9.7,0.0,2.8,0.0,0.25,6
分鐘,20,0.5,17.35,0.0,1.25,0.0,0.25,7
剛好,11,3.0,7.636363636363637,1.0,4.2727272727272725,0.0,0.2727272727272727,5
創業,135,7.0,22.71851851851852,2.0,17.94074074074074,0.0,0.14074074074074075,19
創業者,12,2.5,9.0,0.0,1.75,0.0,0.16666666666666666,4
功能,11,3.0,9.545454545454545,0.0,6.7272727272727275,0.0,0.45454545454545453,4
加入,13,4.0,25.46153846153846,1.0,10.461538461538462,0.0,0.38461538461538464,7
加油,26,20.5,33.26923076923077,30.0,45.61538461538461,0.0,0.23076923076923078,10
加絨,18,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,2
努力,61,3.0,13.950819672131148,0.0,7.278688524590164,0.0,0.08196721311475409,13
協助,11,1.0,1.0909090909090908,0.0,0.45454545454545453,0.0,0.09090909090909091,3
卡卡,10,19.0,36.1,0.0,3.1,0.0,1.0,2
卡牌,11,54.0,60.36363636363637,3.0,13.818181818181818,1.0,2.090909090909091,1
原因,13,8.0,14.538461538461538,1.0,4.0,0.0,0.3076923076923077,7
取貨,32,0.0,0.625,0.0,0.09375,0.0,0.0,3
受眾,10,4.5,4.3,1.0,1.0,0.0,0.0,3
可線,10,0.0,0.2,0.0,0.0,0.0,0.0,1
可貨到,10,0.0,0.2,0.0,0.0,0.0,0.0,1
台北,12,3.0,4.083333333333333,0.0,0.3333333333333333,0.0,0.0,6
台南,32,4.0,5.09375,0.0,2.78125,0.0,0.0,2
台南人,19,1.0,1.1578947368421053,0.0,0.21052631578947367,0.0,0.0,1
台灣,23,4.0,25.043478260869566,0.0,15.521739130434783,0.0,0.43478260869565216,13
各位,24,10.5,18.75,18.0,31.541666666666668,0.0,0.08333333333333333,8
合作,14,6.5,20.0,1.0,4.5,0.0,0.42857142857142855,7
同事,10,16.5,53.4,1.5,3.1,0.0,1.0,4
吸引,11,2.0,2.727272727272727,0.0,1.0,0.0,0.09090909090909091,5
告知,34,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,2
告訴,10,4.0,57.8,0.0,1.0,0.0,0.4,6
咖啡,10,2.0,3.7,0.0,0.6,0.0,0.6,5
品牌,123,2.0,5.699186991869919,0.0,1.016260162601626,0.0,0.12195121951219512,10
哈嚕,16,0.0,4.875,0.0,10.4375,0.0,0.1875,1
哪些,16,3.0,25.9375,3.0,16.25,0.0,0.4375,10
哪裡,21,1.0,10.476190476190476,1.0,8.333333333333334,0.0,0.0,7
商品,84,0.0,10.916666666666666,0.0,16.952380952380953,0.0,0.5,10
喜歡,54,4.0,14.222222222222221,0.0,2.462962962962963,0.0,0.24074074074074073,16
