words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean,distinct_creators
0.8,12,21.5,23.083333333333332,0.5,2.1666666666666665,1.0,0.75,1
08,18,2.0,2.3333333333333335,0.0,0.0,0.0,0.0,2
1.1,10,24.5,27.8,1.0,2.3,0.5,0.5,2
1.2,13,12.0,20.846153846153847,0.0,0.8461538461538461,0.0,0.46153846153846156,2
1.5,22,17.0,20.045454545454547,0.0,0.5454545454545454,0.5,0.5,1
1M,19,9.0,17.0,0.0,0.6842105263157895,1.0,0.5789473684210527,1
2.5,14,14.0,16.214285714285715,0.0,0.7857142857142857,0.5,0.5,2
20000,14,91.5,103.0,35.5,35.92857142857143,1.0,1.0714285714285714,1
2M,16,14.0,21.9375,0.0,1.0,0.5,0.5625,1
AI,42,10.0,20.404761904761905,1.0,4.4523809523809526,0.0,0.6666666666666666,4
By,29,12.0,15.10344827586207,0.0,0.5862068965517241,0.0,0.41379310344827586,2
Day,13,10.0,14.23076923076923,0.0,0.07692307692307693,0.0,0.38461538461538464,1
Engineer,10,10.0,11.2,0.0,0.2,0.0,0.3,1
KPI,16,8.0,11.125,1.0,1.4375,0.0,0.25,3
Manager,22,16.0,18.90909090909091,0.0,0.7272727272727273,1.0,0.5454545454545454,1
Marketing,10,20.0,23.8,0.5,0.8,0.0,0.4,1
Notion,51,7.0,23.529411764705884,2.0,6.803921568627451,0.0,0.6666666666666666,1
Sales,16,14.0,17.4375,0.0,0.5625,0.0,0.4375,1
Senior,11,12.0,26.09090909090909,0.0,0.9090909090909091,0.0,0.45454545454545453,1
Threads,29,135.0,170.6551724137931,39.0,46.93103448275862,0.0,1.103448275862069,4
XD,11,5.0,10.363636363636363,1.0,3.0,0.0,0.2727272727272727,2
leadingmrk,14,3.0,4.642857142857143,0.0,0.5714285714285714,0.0,0.5714285714285714,1
一人公司,16,14.5,28.75,2.0,4.125,0.0,0.9375,1
一件,25,9.0,36.32,0.0,2.68,0.0,1.88,3
一則,18,44.5,53.333333333333336,7.0,6.833333333333333,1.5,1.6666666666666667,2
一句,15,8.0,72.66666666666667,1.0,2.6666666666666665,0.0,1.1333333333333333,5
一天,16,28.0,35.4375,1.0,6.3125,0.0,0.25,6
一家,39,133.0,163.64102564102564,46.0,51.51282051282051,0.0,0.9487179487179487,1
一年,21,25.0,40.61904761904762,4.0,8.80952380952381,0.0,0.47619047619047616,5
一次,13,7.0,9.76923076923077,0.0,0.46153846153846156,0.0,0.15384615384615385,3
一步,79,133.0,157.13924050632912,48.0,50.89873417721519,0.0,0.759493670886076,5
一種,16,14.0,41.375,0.5,2.3125,0.0,0.875,5
一般,10,9.0,7.4,0.0,0.1,0.0,0.1,2
三年,27,16.0,19.296296296296298,0.0,1.4814814814814814,0.0,0.5925925925925926,2
三遍,11,12.0,15.090909090909092,0.0,0.0,0.0,0.18181818181818182,1
上班,16,18.5,89.25,2.0,6.875,0.0,5.5,2
下午,19,10.0,14.210526315789474,0.0,1.8421052631578947,0.0,0.10526315789473684,3
下班,21,11.0,14.857142857142858,0.0,1.0,0.0,0.19047619047619047,4
不到,15,17.0,54.2,1.0,4.6,0.0,2.8,5
不同,31,10.0,21.774193548387096,1.0,4.064516129032258,0.0,0.41935483870967744,4
不想,15,13.0,23.066666666666666,0.0,1.1333333333333333,0.0,0.13333333333333333,3
不露,32,147.0,187.9375,51.0,60.34375,0.0,0.875,1
世界,13,13.0,11.076923076923077,0.0,0.5384615384615384,0.0,0.0,4
中英文,17,19.0,22.529411764705884,0.0,0.9411764705882353,0.0,0.4117647058823529,1
主動,13,16.0,39.15384615384615,0.0,2.923076923076923,0.0,0.9230769230769231,4
主導,10,25.0,34.7,0.5,1.7,1.0,0.8,2
主管,75,11.0,26.68,0.0,0.36,0.0,0.52,3
了解,27,2.0,10.74074074074074,0.0,1.0,0.0,0.25925925925925924,3
五年,29,17.0,22.20689655172414,1.0,1.206896551724138,1.0,0.5517241379310345,3
交流,13,6.0,15.0,1.0,3.6923076923076925,0.0,0.46153846153846156,2
人才,27,3.0,9.518518518518519,0.0,1.3703703703703705,0.0,0.07407407407407407,3
人生,23,15.0,42.34782608695652,2.0,2.391304347826087,0.0,0.9130434782608695,5
人粉,14,219.5,248.28571428571428,65.5,72.57142857142857,0.0,1.1428571428571428,1
人際,17,45.0,56.23529411764706,7.0,7.235294117647059,2.0,1.7647058823529411,1
今日,36,44.5,53.611111111111114,7.0,6.888888888888889,1.5,1.6666666666666667,2
付費,11,11.0,13.181818181818182,2.0,1.6363636363636365,0.0,0.18181818181818182,4
代表,18,35.5,95.77777777777777,6.0,26.944444444444443,0.0,0.6111111111111112,5
以上,66,17.0,23.181818181818183,0.0,1.2575757575757576,1.0,0.8333333333333334,3
任務,17,7.0,9.764705882352942,0.0,0.5882352941176471,0.0,0.058823529411764705,4
企劃,10,21.0,28.0,1.0,1.2,0.0,0.3,3
企業,35,6.0,12.2,1.0,1.0571428571428572,0.0,0.14285714285714285,4
休息,12,13.0,16.5,0.0,0.8333333333333334,0.0,0.16666666666666666,2
使用,11,7.0,17.90909090909091,1.0,2.3636363636363638,0.0,1.1818181818181819,4
依照,78,14.5,20.05128205128205,0.0,1.0256410256410255,1.0,0.5512820512820513,3
信任,11,16.0,66.72727272727273,2.0,3.0,0.0,0.2727272727272727,4
假日,23,2.0,5.043478260869565,0.0,0.17391304347826086,0.0,0.0,3
偏財,22,44.5,54.13636363636363,7.0,7.2727272727272725,2.0,1.8636363636363635,1
做出,10,22.0,29.0,5.0,9.8,0.0,0.4,3
做到,12,19.5,24.833333333333332,0.0,1.5833333333333333,0.0,0.25,4
健康,16,11.0,9.5,0.0,0.4375,1.0,0.5625,4
價值,30,10.0,52.233333333333334,0.0,2.466666666666667,0.0,1.8666666666666667,4
優化,28,14.0,16.642857142857142,0.0,0.9642857142857143,0.0,0.39285714285714285,2
免費,10,5.5,6.1,1.0,1.4,0.0,0.6,3
內斂,17,45.0,56.23529411764706,7.0,7.235294117647059,2.0,1.7647058823529411,1
全程,20,2.0,2.35,0.0,0.3,0.0,0.0,2
兩年,17,13.0,20.41176470588235,1.0,1.8823529411764706,1.0,0.7058823529411765,2
公司,62,10.0,52.32258064516129,0.0,1.935483870967742,0.0,0.8387096774193549,6
公益,44,2.0,2.5,0.0,0.29545454545454547,0.0,0.0,1
具備,12,10.0,14.916666666666666,0.0,0.75,0.5,0.5,1
出現,12,39.0,80.66666666666667,0.5,4.416666666666667,1.0,4.583333333333333,5
分享,83,9.0,18.72289156626506,1.0,3.4939759036144578,0.0,0.7831325301204819,6
分析,33,17.0,19.454545454545453,0.0,1.0,1.0,0.5151515151515151,3
分鐘,16,6.0,8.3125,1.0,1.5625,0.0,0.0,4
判斷,11,6.0,10.0,1.0,2.272727272727273,0.0,0.2727272727272727,3
制定,13,17.0,21.384615384615383,0.0,0.6153846153846154,0.0,0.46153846153846156,1
前端,10,17.0,14.1,0.0,0.0,0.0,0.4,1
剛好,14,15.0,35.214285714285715,2.0,8.357142857142858,0.0,1.3571428571428572,3
創業,169,3.0,13.52662721893491,0.0,2.4201183431952664,0.0,0.08875739644970414,3
加班,10,4.5,9.0,0.0,0.4,0.0,0.0,4
助力,17,45.0,56.23529411764706,7.0,7.235294117647059,2.0,1.7647058823529411,1
努力,25,8.0,11.92,1.0,2.08,0.0,0.16,4
區域,13,26.0,25.692307692307693,0.0,1.4615384615384615,1.0,0.6923076923076923,1
十年,16,13.5,19.4375,0.0,0.6875,0.0,0.5,2
協作,29,12.0,15.689655172413794,0.0,0.6206896551724138,0.0,0.4482758620689655,2
協助,15,14.0,17.4,1.0,3.6666666666666665,0.0,0.4,3
反而,11,8.0,15.181818181818182,1.0,2.0,0.0,0.18181818181818182,4
台中,11,17.0,24.636363636363637,1.0,2.090909090909091,1.0,0.9090909090909091,2
台北,58,15.5,21.137931034482758,0.0,1.0689655172413792,0.0,0.5,2
台灣,18,11.5,17.0,0.5,2.1666666666666665,0.0,0.1111111111111111,2
合作,51,18.0,28.80392156862745,1.0,3.6862745098039214,0.0,0.45098039215686275,6
品牌,69,17.0,24.08695652173913,1.0,1.8405797101449275,0.0,0.391304347826087,4
商品,14,4.5,14.214285714285714,0.0,0.8571428571428571,0.0,0.35714285714285715,3
商業,38,6.5,10.763157894736842,0.0,0.5,0.0,0.23684210526315788,3
喜歡,25,14.0,15.76,0.0,0.88,0.0,0.2,3
回事,21,2.0,3.5714285714285716,0.0,0.42857142857142855,0.0,0.047619047619047616,2
回到,13,11.0,15.23076923076923,0.0,0.8461538461538461,0.0,0.15384615384615385,3
回應,13,89.0,126.07692307692308,16.0,45.15384615384615,0.0,0.6153846153846154,4
回收,10,12.0,15.9,0.0,0.0,0.0,0.2,2
回覆,10,4.0,4.4,1.5,3.5,0.0,0.0,3
國際,19,14.0,18.0,0.0,1.263157894736842,0.0,0.47368421052631576,2
團隊,81,10.0,20.395061728395063,0.0,1.5185185185185186,0.0,0.7283950617283951,3
在意,18,2.5,5.444444444444445,0.0,0.16666666666666666,0.0,0.0,3
執行,37,13.0,16.72972972972973,0.0,0.8108108108108109,0.0,0.40540540540540543,4
培訓,14,6.0,12.571428571428571,2.0,2.357142857142857,0.0,0.07142857142857142,3
報名,30,2.5,4.333333333333333,0.0,0.9333333333333333,0.0,0.1,3
壓力,11,17.0,28.545454545454547,0.0,1.7272727272727273,0.0,0.09090909090909091,4
外商,21,22.0,24.19047619047619,0.0,0.8571428571428571,1.0,0.5714285714285714,2
夜晚,11,10.0,11.818181818181818,0.0,0.0,0.0,0.0,2
夥伴,15,19.0,16.8,2.0,2.4,0.0,0.2,4
大型,14,27.0,28.928571428571427,0.5,1.2857142857142858,0.0,0.35714285714285715,3
失敗,10,7.0,25.0,0.0,1.1,0.0,1.0,2
好好,18,11.0,21.055555555555557,1.0,1.9444444444444444,0.0,0.7222222222222222,4
好評,17,2.0,2.0588235294117645,0.0,0.0,0.0,0.0,1
學員,29,3.0,13.586206896551724,0.0,3.3448275862068964,0.0,0.3448275862068966,2
學會,10,7.5,9.8,0.0,0.1,0.0,0.1,2
學習,29,8.0,16.93103448275862,0.0,2.1724137931034484,0.0,0.27586206896551724,4
安全,12,18.5,23.25,1.5,2.25,1.0,0.6666666666666666,4
安心,13,13.0,19.76923076923077,0.0,1.9230769230769231,0.0,0.5384615384615384,2
完成,29,12.0,13.482758620689655,0.0,0.3448275862068966,0.0,0.27586206896551724,5
完整,10,24.5,31.3,1.0,2.3,0.5,1.5,3
官方,16,65.0,52.75,24.0,16.625,2.0,1.375,2
客戶,53,17.0,22.641509433962263,1.0,2.547169811320755,1.0,0.5849056603773585,2
害怕,10,13.5,136.5,0.5,5.5,0.0,5.8,4
容易,47,27.0,42.02127659574468,2.0,6.170212765957447,1.0,0.7659574468085106,5
專案,43,20.0,36.48837209302326,1.0,2.488372093023256,0.0,1.302325581395349,3
專業,22,17.0,23.181818181818183,0.5,1.0909090909090908,0.0,0.22727272727272727,5
專注,10,16.0,18.8,1.0,0.7,0.0,0.4,3
專長,36,2.0,2.1666666666666665,0.0,0.05555555555555555,0.0,0.0,1
對方,15,12.0,30.733333333333334,2.0,6.2,0.0,0.6,4
尷尬,10,8.5,13.8,1.5,1.3,0.0,0.1,4
工作,81,13.0,42.81481481481482,0.0,3.419753086419753,0.0,1.0987654320987654,6
工具,30,24.0,42.5,1.5,4.033333333333333,0.0,3.5,4
工商,19,2.0,2.3684210526315788,0.0,0.0,0.0,0.0,1
工程,20,12.0,21.45,0.0,0.95,0.0,0.5,2
市場,62,17.0,42.274193548387096,0.0,2.096774193548387,1.0,0.7580645161290323,3
市集,11,3.0,3.909090909090909,0.0,0.18181818181818182,0.0,0.0,2
布姐,27,2.0,3.6296296296296298,0.0,0.037037037037037035,0.0,0.037037037037037035,1
希望,46,17.0,34.130434782608695,1.5,11.891304347826088,0.0,0.5652173913043478,5
常用,10,11.0,11.0,2.0,2.0,0.0,0.0,1
幫助,13,9.0,21.153846153846153,1.0,3.0,0.0,0.0,3
平台,36,15.0,33.44444444444444,0.0,2.2777777777777777,0.0,0.3888888888888889,3
年度,15,25.0,28.0,1.0,1.9333333333333333,0.0,0.4,3
幸運數,17,45.0,56.23529411764706,7.0,7.235294117647059,2.0,1.7647058823529411,1
幸運色,17,45.0,56.23529411764706,7.0,7.235294117647059,2.0,1.7647058823529411,1
幾個,12,8.5,23.25,1.5,3.0833333333333335,0.0,1.1666666666666667,4
廣告,12,18.5,35.916666666666664,1.0,17.583333333333332,0.0,0.5833333333333334,4
建構,20,2.0,3.65,0.0,0.2,0.0,0.05,2
建立,28,14.0,19.642857142857142,0.0,1.1785714285714286,0.0,0.32142857142857145,5
建置,11,8.0,12.181818181818182,0.0,0.18181818181818182,1.0,0.5454545454545454,1
建議,36,15.0,19.944444444444443,0.0,1.6666666666666667,0.0,0.5,5
強勢,12,10.0,10.0,0.0,0.0,0.0,0.0,1
影片,13,17.0,32.61538461538461,1.0,3.230769230769231,0.0,1.8461538461538463,3
得到,12,18.0,66.33333333333333,0.0,4.75,0.0,3.5833333333333335,4
從技術,18,2.0,2.1666666666666665,0.0,0.05555555555555555,0.0,0.0,1
